filmid	moziid	datum	nezoszam	bevetel
3	9	1999.03.24	45	11600
17	10	1999.03.24	79	20982
40	11	1999.03.24	291	79479
5	12	1999.03.24	204	89940
1	13	1999.03.24	126	49366
37	14	1999.03.24	172	62908
39	15	1999.03.24	156	61440
41	16	1999.03.24	83	29290
37	17	1999.03.24	94	31650
19	18	1999.03.24	59	23833
14	19	1999.03.24	141	68821
23	20	1999.03.24	182	87440
12	21	1999.03.24	154	43850
1	22	1999.03.24	106	26758
30	23	1999.03.24	130	61340
35	24	1999.03.24	99	26742
24	25	1999.03.24	117	51112
5	26	1999.03.24	141	41413
27	27	1999.03.24	91	43169
41	28	1999.03.24	132	36772
14	29	1999.03.24	83	26015
12	30	1999.03.24	109	37251
11	31	1999.03.24	100	36500
41	32	1999.03.24	86	40676
40	33	1999.03.24	61	16987
33	34	1999.03.24	158	42370
7	35	1999.03.24	201	53059
34	36	1999.03.24	65	22345
22	37	1999.03.24	65	16775
40	1	1999.03.25	268	68504
17	2	1999.03.25	207	70945
34	3	1999.03.25	287	110782
16	4	1999.03.25	130	29540
30	5	1999.03.25	173	75490
8	6	1999.03.25	86	28562
24	7	1999.03.25	55	25390
28	8	1999.03.25	94	45986
33	9	1999.03.25	162	79032
39	10	1999.03.25	72	35908
11	11	1999.03.25	90	38990
16	12	1999.03.25	297	69701
27	13	1999.03.25	160	67240
34	14	1999.03.25	54	28738
8	15	1999.03.25	110	45130
33	16	1999.03.25	136	60552
32	17	1999.03.25	81	24938
6	18	1999.03.25	84	41988
34	19	1999.03.25	64	26636
37	20	1999.03.25	163	39168
27	21	1999.03.25	126	38296
8	22	1999.03.25	187	74317
1	23	1999.03.25	88	20800
44	24	1999.03.25	36	9448
20	25	1999.03.25	87	40990
20	26	1999.03.25	32	13940
39	27	1999.03.25	124	46576
8	28	1999.03.25	174	83672
32	29	1999.03.25	79	23247
36	30	1999.03.25	45	12365
17	31	1999.03.25	138	38902
10	32	1999.03.25	130	51450
13	33	1999.03.25	116	42060
9	34	1999.03.25	35	11355
31	35	1999.03.25	102	40474
4	36	1999.03.25	52	18620
34	37	1999.03.25	86	36504
17	1	1999.03.26	265	71820
16	2	1999.03.26	140	31320
30	3	1999.03.26	290	111000
40	4	1999.03.26	51	20617
38	5	1999.03.26	50	13100
9	6	1999.03.26	60	24820
30	7	1999.03.26	70	15650
35	8	1999.03.26	56	11948
34	9	1999.03.26	98	35286
18	10	1999.03.26	138	44298
22	11	1999.03.26	87	31398
30	12	1999.03.26	248	93896
36	13	1999.03.26	64	28112
32	14	1999.03.26	144	34152
41	15	1999.03.26	237	70015
32	16	1999.03.26	132	50952
9	17	1999.03.26	123	50138
30	18	1999.03.26	56	19008
16	19	1999.03.26	161	35898
35	20	1999.03.26	46	21854
1	21	1999.03.26	193	48571
16	22	1999.03.26	104	30056
35	23	1999.03.26	33	14102
27	24	1999.03.26	57	17489
21	25	1999.03.26	138	37560
37	26	1999.03.26	31	8771
8	27	1999.03.26	51	14211
37	28	1999.03.26	105	46490
40	29	1999.03.26	29	16113
28	30	1999.03.26	112	49616
24	31	1999.03.26	93	26826
23	32	1999.03.26	136	41348
19	33	1999.03.26	52	13212
16	34	1999.03.26	80	22760
16	35	1999.03.26	294	119988
3	36	1999.03.26	48	16160
7	37	1999.03.26	44	20212
25	1	1999.03.27	137	53830
42	2	1999.03.27	197	61476
27	3	1999.03.27	175	83400
30	4	1999.03.27	139	51518
14	5	1999.03.27	112	24136
37	6	1999.03.27	120	36840
18	7	1999.03.27	102	41392
26	8	1999.03.27	126	48446
28	9	1999.03.27	150	43250
21	10	1999.03.27	145	45570
10	11	1999.03.27	153	34848
31	12	1999.03.27	306	105058
11	13	1999.03.27	153	49566
28	14	1999.03.27	44	17912
25	15	1999.03.27	189	40901
24	16	1999.03.27	113	42732
12	17	1999.03.27	118	28848
42	18	1999.03.27	98	22262
17	19	1999.03.27	162	41228
44	20	1999.03.27	92	23124
10	21	1999.03.27	156	34084
42	22	1999.03.27	70	21420
17	23	1999.03.27	39	10696
11	24	1999.03.27	160	43380
43	25	1999.03.27	207	71452
27	26	1999.03.27	106	46256
5	27	1999.03.27	137	41041
25	28	1999.03.27	183	79658
28	29	1999.03.27	42	13682
4	30	1999.03.27	56	19416
36	31	1999.03.27	39	18808
20	32	1999.03.27	159	56550
14	33	1999.03.27	70	24950
8	34	1999.03.27	132	54884
30	35	1999.03.27	258	127620
42	36	1999.03.27	38	14176
34	37	1999.03.27	189	69940
10	1	1999.03.28	140	40840
38	2	1999.03.28	122	50876
31	3	1999.03.28	87	41690
2	4	1999.03.28	103	39519
12	5	1999.03.28	63	13515
9	6	1999.03.28	112	36836
20	7	1999.03.28	84	33728
25	8	1999.03.28	190	42180
14	9	1999.03.28	166	73376
22	10	1999.03.28	93	44482
2	11	1999.03.28	201	80298
26	12	1999.03.28	96	34464
30	13	1999.03.28	106	41598
5	14	1999.03.28	46	12850
6	15	1999.03.28	69	15556
8	16	1999.03.28	185	72155
9	17	1999.03.28	139	50735
33	18	1999.03.28	71	20635
35	19	1999.03.28	140	44580
36	20	1999.03.28	121	32818
18	21	1999.03.28	80	19880
26	22	1999.03.28	143	52152
25	23	1999.03.28	117	45892
33	24	1999.03.28	158	49138
32	25	1999.03.28	213	55689
40	26	1999.03.28	83	27543
22	27	1999.03.28	110	37990
36	28	1999.03.28	267	83871
44	29	1999.03.28	107	27178
13	30	1999.03.28	60	21780
20	31	1999.03.28	107	48173
36	32	1999.03.28	168	44148
12	33	1999.03.28	94	37630
14	34	1999.03.28	99	42274
22	35	1999.03.28	192	62616
9	36	1999.03.28	75	36875
13	37	1999.03.28	60	17140
42	1	1999.03.29	246	55328
29	2	1999.03.29	232	71892
2	3	1999.03.29	60	29600
39	4	1999.03.29	73	28118
33	5	1999.03.29	145	36670
29	6	1999.03.29	142	37058
19	7	1999.03.29	77	27657
44	8	1999.03.29	54	18334
14	9	1999.03.29	47	18901
35	10	1999.03.29	165	48560
19	11	1999.03.29	72	24128
2	12	1999.03.29	306	109342
24	13	1999.03.29	149	70732
31	14	1999.03.29	86	30788
38	15	1999.03.29	50	21150
40	16	1999.03.29	173	54319
42	17	1999.03.29	75	15400
3	18	1999.03.29	139	49545
9	19	1999.03.29	126	54190
13	20	1999.03.29	113	40315
22	21	1999.03.29	75	22875
9	22	1999.03.29	184	51196
39	23	1999.03.29	135	39280
12	24	1999.03.29	127	45642
36	25	1999.03.29	138	40344
11	26	1999.03.29	133	57756
19	27	1999.03.29	35	13115
34	28	1999.03.29	177	53792
12	29	1999.03.29	50	22300
18	30	1999.03.29	38	19192
27	31	1999.03.29	133	33153
14	32	1999.03.29	191	47340
3	33	1999.03.29	50	22900
42	34	1999.03.29	84	28252
29	35	1999.03.29	159	46256
25	36	1999.03.29	37	17809
11	37	1999.03.29	102	51386
33	1	1999.03.30	99	25355
13	2	1999.03.30	90	44320
4	3	1999.03.30	248	105504
35	4	1999.03.30	79	23899
43	5	1999.03.30	116	33716
33	6	1999.03.30	54	18072
2	7	1999.03.30	156	40668
43	8	1999.03.30	162	61760
15	9	1999.03.30	40	10500
22	10	1999.03.30	165	71225
27	11	1999.03.30	270	129020
19	12	1999.03.30	254	73998
25	13	1999.03.30	104	39860
33	14	1999.03.30	102	23236
34	15	1999.03.30	148	71556
21	16	1999.03.30	48	16540
7	17	1999.03.30	76	31756
22	18	1999.03.30	104	26888
15	19	1999.03.30	96	38784
25	20	1999.03.30	138	42662
31	21	1999.03.30	211	77660
23	22	1999.03.30	91	39829
41	23	1999.03.30	133	57128
20	24	1999.03.30	111	30459
36	25	1999.03.30	55	27680
30	26	1999.03.30	58	26536
4	27	1999.03.30	53	20758
9	28	1999.03.30	240	102080
3	29	1999.03.30	124	35080
27	30	1999.03.30	69	29897
24	31	1999.03.30	32	8816
15	32	1999.03.30	136	32888
29	33	1999.03.30	54	23586
24	34	1999.03.30	116	32084
19	35	1999.03.30	195	66510
41	36	1999.03.30	113	25386
29	37	1999.03.30	182	42506
32	1	1999.03.31	185	92290
28	2	1999.03.31	60	23640
7	3	1999.03.31	93	38572
8	4	1999.03.31	114	31308
23	5	1999.03.31	85	18770
20	6	1999.03.31	56	19660
42	7	1999.03.31	124	25920
41	8	1999.03.31	106	33130
11	9	1999.03.31	85	32690
30	10	1999.03.31	178	80500
15	11	1999.03.31	156	56032
11	12	1999.03.31	226	61998
22	13	1999.03.31	86	39144
29	14	1999.03.31	58	28022
40	15	1999.03.31	220	108340
44	16	1999.03.31	159	36834
2	17	1999.03.31	141	65532
31	18	1999.03.31	102	33228
40	19	1999.03.31	141	69867
1	20	1999.03.31	77	24046
30	21	1999.03.31	133	41929
27	22	1999.03.31	137	46599
26	23	1999.03.31	138	56552
25	24	1999.03.31	52	12652
37	25	1999.03.31	80	21440
24	26	1999.03.31	69	29242
13	27	1999.03.31	107	25133
5	28	1999.03.31	207	49959
39	29	1999.03.31	97	37157
8	30	1999.03.31	42	18012
43	31	1999.03.31	98	28034
17	32	1999.03.31	182	73336
1	33	1999.03.31	63	28223
42	34	1999.03.31	92	30084
15	35	1999.03.31	198	51282
1	36	1999.03.31	103	26047
34	37	1999.03.31	199	46666
30	1	1999.04.01	140	41800
33	2	1999.04.01	187	46502
21	3	1999.04.01	181	64550
6	4	1999.04.01	106	51392
32	5	1999.04.01	101	26854
9	6	1999.04.01	123	34763
37	7	1999.04.01	117	41382
37	8	1999.04.01	118	36982
6	9	1999.04.01	50	16450
1	10	1999.04.01	61	20169
26	11	1999.04.01	144	36168
2	12	1999.04.01	93	46377
7	13	1999.04.01	81	31389
13	14	1999.04.01	115	33030
20	15	1999.04.01	74	33282
5	16	1999.04.01	46	14448
32	17	1999.04.01	66	18992
1	18	1999.04.01	110	46750
8	19	1999.04.01	103	25699
14	20	1999.04.01	128	44748
13	21	1999.04.01	119	59396
33	22	1999.04.01	119	35396
23	23	1999.04.01	42	19248
12	24	1999.04.01	99	28817
30	25	1999.04.01	62	19318
5	26	1999.04.01	117	48204
6	27	1999.04.01	110	30280
35	28	1999.04.01	261	90145
16	29	1999.04.01	76	25520
6	30	1999.04.01	38	19834
41	31	1999.04.01	131	36101
30	32	1999.04.01	149	64923
35	33	1999.04.01	57	27690
44	34	1999.04.01	104	23396
18	35	1999.04.01	171	65493
26	36	1999.04.01	145	43720
39	37	1999.04.01	138	55924
23	1	1999.04.02	179	47445
1	2	1999.04.02	162	80632
19	3	1999.04.02	281	95554
42	4	1999.04.02	85	19180
26	5	1999.04.02	165	72020
37	6	1999.04.02	150	51000
23	7	1999.04.02	88	40200
29	8	1999.04.02	126	37396
34	9	1999.04.02	43	15205
37	10	1999.04.02	84	39288
15	11	1999.04.02	186	59276
41	12	1999.04.02	275	126650
32	13	1999.04.02	126	47098
22	14	1999.04.02	56	24716
3	15	1999.04.02	160	49700
39	16	1999.04.02	48	23620
21	17	1999.04.02	97	29724
28	18	1999.04.02	121	38931
33	19	1999.04.02	42	10200
15	20	1999.04.02	42	19536
24	21	1999.04.02	144	70516
19	22	1999.04.02	135	49365
11	23	1999.04.02	46	23808
42	24	1999.04.02	165	70735
27	25	1999.04.02	73	24433
44	26	1999.04.02	46	17902
30	27	1999.04.02	128	32548
33	28	1999.04.02	231	78092
44	29	1999.04.02	35	13005
19	30	1999.04.02	50	15600
34	31	1999.04.02	117	56807
43	32	1999.04.02	174	64932
26	33	1999.04.02	109	33337
19	34	1999.04.02	155	76740
12	35	1999.04.02	102	40356
31	36	1999.04.02	120	45500
8	37	1999.04.02	130	43640
11	1	1999.04.03	252	78160
43	2	1999.04.03	235	60080
30	3	1999.04.03	257	59696
37	4	1999.04.03	126	50274
35	5	1999.04.03	55	24480
24	6	1999.04.03	97	43986
14	7	1999.04.03	160	59940
8	8	1999.04.03	66	24496
4	9	1999.04.03	152	39504
35	10	1999.04.03	43	17167
20	11	1999.04.03	147	71807
25	12	1999.04.03	142	64148
38	13	1999.04.03	68	22248
10	14	1999.04.03	67	22142
27	15	1999.04.03	129	48056
43	16	1999.04.03	95	27735
21	17	1999.04.03	105	49415
22	18	1999.04.03	72	28592
27	19	1999.04.03	113	52728
23	20	1999.04.03	123	36040
17	21	1999.04.03	197	92123
24	22	1999.04.03	195	79675
8	23	1999.04.03	33	14999
22	24	1999.04.03	115	34345
25	25	1999.04.03	220	72420
10	26	1999.04.03	54	18458
11	27	1999.04.03	68	17984
34	28	1999.04.03	153	33883
6	29	1999.04.03	45	18735
35	30	1999.04.03	27	7048
2	31	1999.04.03	68	19280
43	32	1999.04.03	174	72070
42	33	1999.04.03	31	6648
21	34	1999.04.03	152	41952
10	35	1999.04.03	69	16039
2	36	1999.04.03	117	47666
17	37	1999.04.03	88	19884
23	1	1999.04.04	185	90855
4	2	1999.04.04	110	39900
43	3	1999.04.04	172	56572
11	4	1999.04.04	108	27928
8	5	1999.04.04	79	29292
40	6	1999.04.04	156	59244
10	7	1999.04.04	126	58808
9	8	1999.04.04	184	42348
20	9	1999.04.04	103	23942
25	10	1999.04.04	172	79300
11	11	1999.04.04	123	26269
21	12	1999.04.04	136	52356
33	13	1999.04.04	70	18810
22	14	1999.04.04	92	22132
34	15	1999.04.04	170	74760
41	16	1999.04.04	78	32222
8	17	1999.04.04	129	42870
13	18	1999.04.04	134	61398
34	19	1999.04.04	54	19278
18	20	1999.04.04	107	23207
15	21	1999.04.04	156	61464
15	22	1999.04.04	80	24460
29	23	1999.04.04	91	24133
1	24	1999.04.04	100	32600
18	25	1999.04.04	190	46170
2	26	1999.04.04	68	23392
38	27	1999.04.04	44	10444
38	28	1999.04.04	219	98236
28	29	1999.04.04	44	14984
26	30	1999.04.04	93	26096
36	31	1999.04.04	36	19216
29	32	1999.04.04	50	13200
37	33	1999.04.04	74	19660
33	34	1999.04.04	54	24296
2	35	1999.04.04	225	71825
21	36	1999.04.04	99	39711
3	37	1999.04.04	176	61296
36	1	1999.04.05	86	37534
44	2	1999.04.05	57	22388
36	3	1999.04.05	60	25540
7	4	1999.04.05	93	33815
16	5	1999.04.05	156	59512
31	6	1999.04.05	147	66162
1	7	1999.04.05	95	26415
27	8	1999.04.05	158	41748
41	9	1999.04.05	96	29356
8	10	1999.04.05	79	33596
20	11	1999.04.05	231	106936
4	12	1999.04.05	269	97202
21	13	1999.04.05	142	46508
8	14	1999.04.05	94	31186
6	15	1999.04.05	57	21420
30	16	1999.04.05	138	57746
15	17	1999.04.05	103	48498
21	18	1999.04.05	98	46464
26	19	1999.04.05	70	20510
7	20	1999.04.05	155	67735
32	21	1999.04.05	161	41350
30	22	1999.04.05	153	70262
31	23	1999.04.05	88	42348
34	24	1999.04.05	46	12014
43	25	1999.04.05	71	29871
2	26	1999.04.05	52	16024
19	27	1999.04.05	36	12520
11	28	1999.04.05	252	76644
33	29	1999.04.05	55	15140
13	30	1999.04.05	104	24612
40	31	1999.04.05	121	61716
12	32	1999.04.05	207	76427
8	33	1999.04.05	74	36372
12	34	1999.04.05	116	55236
10	35	1999.04.05	120	58660
24	36	1999.04.05	62	29854
10	37	1999.04.05	174	71844
12	1	1999.04.06	252	96968
31	2	1999.04.06	97	25644
40	3	1999.04.06	109	48597
20	4	1999.04.06	130	59880
7	5	1999.04.06	143	59630
29	6	1999.04.06	60	23500
24	7	1999.04.06	70	20550
10	8	1999.04.06	124	38924
31	9	1999.04.06	89	44031
36	10	1999.04.06	133	54898
20	11	1999.04.06	282	81352
42	12	1999.04.06	124	39384
4	13	1999.04.06	75	29575
42	14	1999.04.06	197	51517
3	15	1999.04.06	153	31659
42	16	1999.04.06	66	19052
43	17	1999.04.06	126	48202
7	18	1999.04.06	66	28680
16	19	1999.04.06	173	54811
28	20	1999.04.06	189	83126
24	21	1999.04.06	52	12028
35	22	1999.04.06	254	61244
33	23	1999.04.06	96	40176
8	24	1999.04.06	174	43378
39	25	1999.04.06	200	85600
1	26	1999.04.06	37	10498
41	27	1999.04.06	96	40352
12	28	1999.04.06	135	44435
32	29	1999.04.06	113	51715
16	30	1999.04.06	43	18843
27	31	1999.04.06	46	22376
34	32	1999.04.06	69	20361
23	33	1999.04.06	76	18392
31	34	1999.04.06	89	41329
22	35	1999.04.06	261	107066
26	36	1999.04.06	46	18342
1	37	1999.04.06	98	24822
15	1	1999.04.07	124	33460
31	2	1999.04.07	167	83096
37	3	1999.04.07	296	146048
4	4	1999.04.07	96	29688
33	5	1999.04.07	59	14465
44	6	1999.04.07	153	34760
42	7	1999.04.07	73	22119
42	8	1999.04.07	188	58452
37	9	1999.04.07	138	64766
32	10	1999.04.07	111	45155
36	11	1999.04.07	261	60608
44	12	1999.04.07	192	79068
1	13	1999.04.07	90	44170
14	14	1999.04.07	207	61058
3	15	1999.04.07	172	74992
17	16	1999.04.07	157	48927
17	17	1999.04.07	142	55212
40	18	1999.04.07	105	29450
13	19	1999.04.07	154	40448
38	20	1999.04.07	58	25886
37	21	1999.04.07	158	39594
13	22	1999.04.07	158	46530
44	23	1999.04.07	81	41076
27	24	1999.04.07	138	43104
32	25	1999.04.07	66	24330
25	26	1999.04.07	137	50946
42	27	1999.04.07	70	23630
27	28	1999.04.07	264	82912
19	29	1999.04.07	58	22254
5	30	1999.04.07	46	15712
14	31	1999.04.07	60	27120
4	32	1999.04.07	56	25008
24	33	1999.04.07	81	27335
27	34	1999.04.07	147	31076
37	35	1999.04.07	93	41434
35	36	1999.04.07	63	19063
29	37	1999.04.07	50	15400
9	1	1999.04.08	108	32296
6	2	1999.04.08	155	58225
43	3	1999.04.08	212	57056
18	4	1999.04.08	124	37524
20	5	1999.04.08	99	27033
42	6	1999.04.08	105	22975
30	7	1999.04.08	145	73555
34	8	1999.04.08	124	58132
37	9	1999.04.08	110	35980
20	10	1999.04.08	167	61255
2	11	1999.04.08	102	46702
4	12	1999.04.08	114	35214
43	13	1999.04.08	36	18660
17	14	1999.04.08	111	50816
16	15	1999.04.08	211	46465
9	16	1999.04.08	150	41500
23	17	1999.04.08	87	30432
35	18	1999.04.08	31	9848
16	19	1999.04.08	124	33060
42	20	1999.04.08	191	85822
14	21	1999.04.08	140	65960
12	22	1999.04.08	171	46299
43	23	1999.04.08	130	35720
3	24	1999.04.08	124	31576
4	25	1999.04.08	184	40076
37	26	1999.04.08	62	19730
41	27	1999.04.08	63	15697
36	28	1999.04.08	255	84030
33	29	1999.04.08	79	38083
30	30	1999.04.08	86	22154
39	31	1999.04.08	120	33920
10	32	1999.04.08	44	15876
33	33	1999.04.08	74	35358
44	34	1999.04.08	43	12407
27	35	1999.04.08	120	53000
22	36	1999.04.08	48	19560
31	37	1999.04.08	63	13626
31	1	1999.04.09	243	86064
42	2	1999.04.09	122	28072
19	3	1999.04.09	133	44555
30	4	1999.04.09	51	27149
35	5	1999.04.09	103	49007
35	6	1999.04.09	107	53723
7	7	1999.04.09	61	19573
42	8	1999.04.09	58	19686
40	9	1999.04.09	47	16939
41	10	1999.04.09	147	33628
36	11	1999.04.09	258	74114
33	12	1999.04.09	213	55276
40	13	1999.04.09	63	19337
19	14	1999.04.09	201	99289
41	15	1999.04.09	208	98004
32	16	1999.04.09	132	40340
37	17	1999.04.09	60	18860
10	18	1999.04.09	108	36292
22	19	1999.04.09	119	29822
37	20	1999.04.09	168	81512
34	21	1999.04.09	163	34378
32	22	1999.04.09	161	56279
21	23	1999.04.09	43	16996
36	24	1999.04.09	66	17500
41	25	1999.04.09	87	29162
13	26	1999.04.09	119	51513
14	27	1999.04.09	106	29014
29	28	1999.04.09	288	96228
8	29	1999.04.09	35	16690
32	30	1999.04.09	105	27190
22	31	1999.04.09	68	25328
20	32	1999.04.09	159	62628
32	33	1999.04.09	32	13452
4	34	1999.04.09	108	53928
39	35	1999.04.09	63	19111
17	36	1999.04.09	55	15840
40	37	1999.04.09	140	29900
23	1	1999.04.10	176	61388
22	2	1999.04.10	132	59864
33	3	1999.04.10	169	76650
35	4	1999.04.10	81	27949
28	5	1999.04.10	92	20904
36	6	1999.04.10	97	38606
2	7	1999.04.10	93	25945
6	8	1999.04.10	158	69246
19	9	1999.04.10	133	32686
2	10	1999.04.10	64	18440
8	11	1999.04.10	159	45197
6	12	1999.04.10	77	38492
23	13	1999.04.10	109	26661
28	14	1999.04.10	172	79564
36	15	1999.04.10	136	30040
13	16	1999.04.10	44	22312
16	17	1999.04.10	36	12344
21	18	1999.04.10	133	49742
36	19	1999.04.10	131	50501
36	20	1999.04.10	180	49500
13	21	1999.04.10	167	44856
21	22	1999.04.10	202	46448
1	23	1999.04.10	60	22760
40	24	1999.04.10	57	24069
27	25	1999.04.10	207	95306
37	26	1999.04.10	145	55980
12	27	1999.04.10	82	20214
44	28	1999.04.10	276	86760
7	29	1999.04.10	122	30680
38	30	1999.04.10	102	30382
10	31	1999.04.10	123	47532
20	32	1999.04.10	75	37075
39	33	1999.04.10	64	26568
10	34	1999.04.10	116	45012
19	35	1999.04.10	123	54520
29	36	1999.04.10	103	44993
42	37	1999.04.10	136	56000
30	1	1999.04.11	230	66190
32	2	1999.04.11	60	27440
12	3	1999.04.11	293	82833
35	4	1999.04.11	49	23669
2	5	1999.04.11	138	30880
40	6	1999.04.11	60	29280
32	7	1999.04.11	133	63911
16	8	1999.04.11	98	22944
18	9	1999.04.11	168	72604
36	10	1999.04.11	176	64188
30	11	1999.04.11	216	82948
42	12	1999.04.11	86	37408
21	13	1999.04.11	79	28661
43	14	1999.04.11	81	36159
30	15	1999.04.11	57	21234
44	16	1999.04.11	152	37324
7	17	1999.04.11	78	20946
44	18	1999.04.11	44	18888
9	19	1999.04.11	164	39412
10	20	1999.04.11	132	36140
2	21	1999.04.11	94	40996
2	22	1999.04.11	205	67035
16	23	1999.04.11	93	29614
39	24	1999.04.11	163	53727
8	25	1999.04.11	172	74516
29	26	1999.04.11	58	12528
29	27	1999.04.11	40	18720
21	28	1999.04.11	75	16375
11	29	1999.04.11	100	42300
35	30	1999.04.11	74	17484
34	31	1999.04.11	47	21879
20	32	1999.04.11	71	17750
27	33	1999.04.11	90	38510
15	34	1999.04.11	97	23225
24	35	1999.04.11	72	34876
44	36	1999.04.11	69	17553
16	37	1999.04.11	81	18772
6	1	1999.04.12	67	25557
37	2	1999.04.12	225	109450
31	3	1999.04.12	233	71366
38	4	1999.04.12	132	28880
2	5	1999.04.12	123	53836
17	6	1999.04.12	44	13932
8	7	1999.04.12	115	48145
8	8	1999.04.12	140	34800
34	9	1999.04.12	94	20898
3	10	1999.04.12	37	15034
1	11	1999.04.12	180	55000
9	12	1999.04.12	71	31498
9	13	1999.04.12	81	37626
43	14	1999.04.12	121	38347
32	15	1999.04.12	124	32124
38	16	1999.04.12	128	35204
10	17	1999.04.12	69	29414
19	18	1999.04.12	105	25895
41	19	1999.04.12	157	39637
22	20	1999.04.12	50	15150
41	21	1999.04.12	184	56636
30	22	1999.04.12	96	25372
1	23	1999.04.12	90	32500
32	24	1999.04.12	169	51969
7	25	1999.04.12	66	14296
43	26	1999.04.12	79	30340
33	27	1999.04.12	123	31343
8	28	1999.04.12	153	32871
35	29	1999.04.12	31	10159
33	30	1999.04.12	43	12322
27	31	1999.04.12	74	34604
16	32	1999.04.12	117	28359
18	33	1999.04.12	98	46388
4	34	1999.04.12	144	59276
11	35	1999.04.12	186	81594
1	36	1999.04.12	57	13526
32	37	1999.04.12	71	31420
37	1	1999.04.13	252	91108
43	2	1999.04.13	175	61125
29	3	1999.04.13	203	75798
38	4	1999.04.13	144	34032
8	5	1999.04.13	88	23316
38	6	1999.04.13	108	51828
23	7	1999.04.13	169	75522
31	8	1999.04.13	180	39340
29	9	1999.04.13	98	25218
43	10	1999.04.13	91	43898
1	11	1999.04.13	216	90324
23	12	1999.04.13	148	58132
18	13	1999.04.13	109	30476
7	14	1999.04.13	75	31825
21	15	1999.04.13	100	38300
42	16	1999.04.13	44	16940
38	17	1999.04.13	40	20380
20	18	1999.04.13	50	23500
34	19	1999.04.13	77	28690
16	20	1999.04.13	176	67456
10	21	1999.04.13	92	34712
41	22	1999.04.13	223	106471
29	23	1999.04.13	111	30492
38	24	1999.04.13	178	54122
23	25	1999.04.13	94	39124
39	26	1999.04.13	93	20679
36	27	1999.04.13	58	22888
33	28	1999.04.13	171	73220
4	29	1999.04.13	118	49552
13	30	1999.04.13	116	29972
22	31	1999.04.13	100	35100
21	32	1999.04.13	109	54237
1	33	1999.04.13	88	24312
12	34	1999.04.13	35	10550
4	35	1999.04.13	210	101510
22	36	1999.04.13	148	31744
1	37	1999.04.13	205	75200
5	1	1999.04.14	172	59564
35	2	1999.04.14	57	21418
2	3	1999.04.14	230	53340
27	4	1999.04.14	147	31541
41	5	1999.04.14	147	55419
41	6	1999.04.14	86	35972
23	7	1999.04.14	172	82972
10	8	1999.04.14	78	22348
8	9	1999.04.14	59	24146
13	10	1999.04.14	104	28012
44	11	1999.04.14	273	87141
37	12	1999.04.14	204	60760
22	13	1999.04.14	124	42484
16	14	1999.04.14	149	33488
4	15	1999.04.14	98	41260
27	16	1999.04.14	148	30984
19	17	1999.04.14	54	19452
12	18	1999.04.14	107	43914
2	19	1999.04.14	124	40848
32	20	1999.04.14	163	35356
8	21	1999.04.14	131	29313
6	22	1999.04.14	174	37710
37	23	1999.04.14	136	62100
23	24	1999.04.14	169	62547
21	25	1999.04.14	80	35520
25	26	1999.04.14	111	37419
27	27	1999.04.14	114	28132
6	28	1999.04.14	216	87932
4	29	1999.04.14	75	27525
20	30	1999.04.14	118	47584
5	31	1999.04.14	49	15071
3	32	1999.04.14	191	44575
5	33	1999.04.14	34	15246
41	34	1999.04.14	36	14440
23	35	1999.04.14	135	64825
2	36	1999.04.14	69	22828
18	37	1999.04.14	54	12662
42	1	1999.04.15	220	99140
1	2	1999.04.15	92	28784
20	3	1999.04.15	142	66788
26	4	1999.04.15	58	26440
34	5	1999.04.15	147	34216
8	6	1999.04.15	46	21896
29	7	1999.04.15	144	62232
18	8	1999.04.15	120	29120
24	9	1999.04.15	101	34943
1	10	1999.04.15	66	24586
1	11	1999.04.15	81	19387
3	12	1999.04.15	96	37460
42	13	1999.04.15	90	36880
34	14	1999.04.15	191	67468
30	15	1999.04.15	232	60088
35	16	1999.04.15	56	16260
16	17	1999.04.15	142	65152
8	18	1999.04.15	62	26162
43	19	1999.04.15	84	37924
29	20	1999.04.15	161	42716
9	21	1999.04.15	144	57428
21	22	1999.04.15	192	68544
9	23	1999.04.15	72	32688
13	24	1999.04.15	91	28865
5	25	1999.04.15	98	32570
14	26	1999.04.15	40	16780
36	27	1999.04.15	107	28813
32	28	1999.04.15	183	75100
21	29	1999.04.15	29	11340
25	30	1999.04.15	76	25440
32	31	1999.04.15	106	41522
41	32	1999.04.15	90	24840
4	33	1999.04.15	108	40588
2	34	1999.04.15	35	18245
43	35	1999.04.15	213	68595
26	36	1999.04.15	124	61764
20	37	1999.04.15	109	40213
40	1	1999.04.16	310	126730
8	2	1999.04.16	245	119435
14	3	1999.04.16	193	78807
42	4	1999.04.16	69	22721
44	5	1999.04.16	96	31444
24	6	1999.04.16	35	16010
11	7	1999.04.16	102	46372
26	8	1999.04.16	140	54440
17	9	1999.04.16	161	39096
28	10	1999.04.16	171	82751
34	11	1999.04.16	60	22020
31	12	1999.04.16	89	26455
9	13	1999.04.16	59	17661
16	14	1999.04.16	105	41385
15	15	1999.04.16	129	53758
43	16	1999.04.16	107	26566
32	17	1999.04.16	75	23475
27	18	1999.04.16	137	37216
29	19	1999.04.16	164	76220
31	20	1999.04.16	44	19148
10	21	1999.04.16	186	44854
26	22	1999.04.16	234	98514
21	23	1999.04.16	100	47300
15	24	1999.04.16	120	60220
40	25	1999.04.16	190	55100
25	26	1999.04.16	80	37660
39	27	1999.04.16	68	23224
24	28	1999.04.16	126	45500
34	29	1999.04.16	27	7380
43	30	1999.04.16	105	45910
